hr-a8rta.nfo	-	43404	1	0	0	0
hr-a8rta.r00	-	50000000	1	43404	0	1
hr-a8rta.r01	-	50000000	1	50043404	0	49
hr-a8rta.r02	-	50000000	1	100043404	0	97
hr-a8rta.r03	-	50000000	1	150043404	0	145
hr-a8rta.r04	-	50000000	1	200043404	0	193
hr-a8rta.r05	-	50000000	1	250043404	0	241
hr-a8rta.r06	-	50000000	1	300043404	0	289
hr-a8rta.r07	-	50000000	1	350043404	0	337
hr-a8rta.r08	-	50000000	1	400043404	0	385
hr-a8rta.r09	-	50000000	1	450043404	0	433
hr-a8rta.r10	-	50000000	1	500043404	0	481
hr-a8rta.r11	-	50000000	1	12251264	1	12
hr-a8rta.r12	-	50000000	1	62251264	1	60
hr-a8rta.r13	-	50000000	1	112251264	1	108
hr-a8rta.r14	-	50000000	1	162251264	1	156
hr-a8rta.r15	-	50000000	1	212251264	1	204
hr-a8rta.r16	-	50000000	1	262251264	1	252
hr-a8rta.r17	-	50000000	1	312251264	1	300
hr-a8rta.r18	-	50000000	1	362251264	1	348
hr-a8rta.r19	-	50000000	1	412251264	1	396
hr-a8rta.r20	-	50000000	1	462251264	1	444
hr-a8rta.r21	-	50000000	1	512251264	1	492
hr-a8rta.r22	-	50000000	1	24834176	2	24
hr-a8rta.r23	-	50000000	1	74834176	2	72
hr-a8rta.r24	-	50000000	1	124834176	2	120
hr-a8rta.r25	-	50000000	1	174834176	2	168
hr-a8rta.r26	-	50000000	1	224834176	2	216
hr-a8rta.r27	-	50000000	1	274834176	2	264
hr-a8rta.r28	-	50000000	1	324834176	2	312
hr-a8rta.r29	-	50000000	1	374834176	2	360
hr-a8rta.r30	-	50000000	1	424834176	2	408
hr-a8rta.r31	-	50000000	1	474834176	2	456
hr-a8rta.r32	-	50000000	1	524834176	2	504
hr-a8rta.r33	-	50000000	1	37417088	3	36
hr-a8rta.r34	-	50000000	1	87417088	3	84
hr-a8rta.r35	-	50000000	1	137417088	3	132
hr-a8rta.r36	-	50000000	1	187417088	3	180
hr-a8rta.r37	-	50000000	1	237417088	3	228
hr-a8rta.r38	-	50000000	1	287417088	3	276
hr-a8rta.r39	-	50000000	1	337417088	3	324
hr-a8rta.r40	-	50000000	1	387417088	3	372
hr-a8rta.r41	-	50000000	1	437417088	3	420
hr-a8rta.r42	-	50000000	1	487417088	3	468
hr-a8rta.r43	-	50000000	1	0	4	0
hr-a8rta.r44	-	50000000	1	50000000	4	48
hr-a8rta.r45	-	50000000	1	100000000	4	96
hr-a8rta.r46	-	50000000	1	150000000	4	144
hr-a8rta.r47	-	50000000	1	200000000	4	192
hr-a8rta.r48	-	50000000	1	250000000	4	240
hr-a8rta.r49	-	50000000	1	300000000	4	288
hr-a8rta.r50	-	50000000	1	350000000	4	336
hr-a8rta.r51	-	50000000	1	400000000	4	384
hr-a8rta.r52	-	50000000	1	450000000	4	432
hr-a8rta.r53	-	50000000	1	500000000	4	480
hr-a8rta.r54	-	50000000	1	12251264	5	12
hr-a8rta.r55	-	50000000	1	62251264	5	60
hr-a8rta.r56	-	50000000	1	112251264	5	108
hr-a8rta.r57	-	50000000	1	162251264	5	156
hr-a8rta.r58	-	50000000	1	212251264	5	204
hr-a8rta.r59	-	50000000	1	262251264	5	252
hr-a8rta.r60	-	50000000	1	312251264	5	300
hr-a8rta.r61	-	50000000	1	362251264	5	348
hr-a8rta.r62	-	50000000	1	412251264	5	396
hr-a8rta.r63	-	17438557	1	462251264	5	444
hr-a8rta.rar	-	50000000	1	479689821	5	461
hr-a8rta.sfv	-	1495	1	529689821	5	509
Proof	d	0	1	529691316	5	510
Proof/hr-a8rta.jpg	-	677961	1	529691316	5	510
