hr-ay8db.nfo	-	11258	1	0	0	0
hr-ay8db.r00	-	100000000	1	11258	0	1
hr-ay8db.r01	-	100000000	1	100011258	0	97
hr-ay8db.r02	-	100000000	1	200011258	0	193
hr-ay8db.r03	-	100000000	1	300011258	0	289
hr-ay8db.r04	-	100000000	1	400011258	0	385
hr-ay8db.r05	-	100000000	1	500011258	0	481
hr-ay8db.r06	-	100000000	1	62251264	1	60
hr-ay8db.r07	-	100000000	1	162251264	1	156
hr-ay8db.r08	-	100000000	1	262251264	1	252
hr-ay8db.r09	-	100000000	1	362251264	1	348
hr-ay8db.r10	-	100000000	1	462251264	1	444
hr-ay8db.r11	-	100000000	1	24502528	2	24
hr-ay8db.r12	-	100000000	1	124502528	2	120
hr-ay8db.r13	-	100000000	1	224502528	2	216
hr-ay8db.r14	-	100000000	1	324502528	2	312
hr-ay8db.r15	-	100000000	1	424502528	2	408
hr-ay8db.r16	-	100000000	1	524502528	2	504
hr-ay8db.r17	-	100000000	1	87417088	3	84
hr-ay8db.r18	-	100000000	1	187417088	3	180
hr-ay8db.r19	-	100000000	1	287417088	3	276
hr-ay8db.r20	-	100000000	1	387417088	3	372
hr-ay8db.r21	-	100000000	1	487417088	3	468
hr-ay8db.r22	-	100000000	1	49668352	4	48
hr-ay8db.r23	-	100000000	1	149668352	4	144
hr-ay8db.r24	-	100000000	1	249668352	4	240
hr-ay8db.r25	-	100000000	1	349668352	4	336
hr-ay8db.r26	-	100000000	1	449668352	4	432
hr-ay8db.r27	-	100000000	1	11919616	5	12
hr-ay8db.r28	-	100000000	1	111919616	5	108
hr-ay8db.r29	-	100000000	1	211919616	5	204
hr-ay8db.r30	-	100000000	1	311919616	5	300
hr-ay8db.r31	-	100000000	1	411919616	5	396
hr-ay8db.r32	-	100000000	1	511919616	5	492
hr-ay8db.r33	-	100000000	1	74834176	6	72
hr-ay8db.r34	-	100000000	1	174834176	6	168
hr-ay8db.r35	-	100000000	1	274834176	6	264
hr-ay8db.r36	-	100000000	1	374834176	6	360
hr-ay8db.r37	-	100000000	1	474834176	6	456
hr-ay8db.r38	-	100000000	1	37085440	7	36
hr-ay8db.r39	-	100000000	1	137085440	7	132
hr-ay8db.r40	-	100000000	1	237085440	7	228
hr-ay8db.r41	-	100000000	1	337085440	7	324
hr-ay8db.r42	-	100000000	1	437085440	7	420
hr-ay8db.r43	-	100000000	1	0	8	0
hr-ay8db.r44	-	100000000	1	100000000	8	96
hr-ay8db.r45	-	100000000	1	200000000	8	192
hr-ay8db.r46	-	100000000	1	300000000	8	288
hr-ay8db.r47	-	100000000	1	400000000	8	384
hr-ay8db.r48	-	100000000	1	500000000	8	480
hr-ay8db.r49	-	52495403	1	62251264	9	60
hr-ay8db.rar	-	100000000	1	114746667	9	111
hr-ay8db.sfv	-	1173	1	214746667	9	207
Proof	d	0	1	214747840	9	208
Proof/hr-ay8db.jpg	-	2678038	1	214747840	9	208
